CANTOR,CÓD,TÍTULO,INÍCIO DA LETRA,CART
MEGHAN TRAINOR - JOHN LEGEND,19442,LIKE I'M GONNA LOSE YOU ,Ifound myself dreaming in silver and gold,INT 7
MEGHAN TRAINOR - PUSSYCAT DOLLS,20071,GENETICS ,Beauty queen since seventeen,INT11C
MEL COM TERRA,4036,"EU, VOCÊ E O AMOR ",Lembro do dia em que eu te conheci,BRA
MELANIE C,19896,I TURN TO YOU ,When the world is darker than I can und,INT10C
MELANIE C - LISA 'LEFT EYE' LOPES,19621,NEVER BE THE SAME AGAIN ,Icall you up whenever things go wrong,INT08D
MELANIE FIONA,19513,SAD SONGS ,Oh yeah... I know there's love waiting on the,INT08A
MELANINA CARIOCA,15815,DEIXA SE ENVOLVER ,Deixa se envolver pra eu te dar prazer e fazer,IMP28
MELIM,16328,MEU ABRIGO ,Uh uh uh... Desejo a você o que há de melhor 31B,@@
MELIM,16395,OUVI DIZER ,Ah se eu acordasse todo dia com o seu 31C,@@
MELIM,16493,DOIS CORAÇÕES ,Eu era apenas eu nada demais 32B,@@
MELIM,16572,GELO ,Não sou de me apaixonar de primeira 32D,@@
MELIM,16643,DIA CINZA ,Eu vivia bem rodeado de amigos 32B,@@
MELIM,16709,PEÇA FELICIDADE ,Hoje vamos desejar o bem sem olhar a quem33C,@@
MELIM,16831,EU FEAT. VOCÊ ,Hoje eu vou sair 34B,@@
MELIM,17021,AMORES E FLORES ,Ôuô... Se eu tinha sorte no amor 35C,@@
MELIM,17117,POSSESSIVA ,Agente junto esparramado no colchão 36A,@@
MELIM,17270,TRANSMISSÃO DE PENSAMENTO ,Tento não olhar pro tempo pensamento voa,IMP 37
MELIM,17357,QUEM ME VIU ,Ando tão feliz esses dias tão otimista sorridente,IMP 37
MELIM,17619,QUINTAL ,Que tal conhecer meu quintal 39F,@@
MELIM - LULU SANTOS,17534,CABELO DE ANJO ,Pra que razão se ela não pode dar asas,IMP 38
MEN AT WORK,2503,DOWN UNDER ,Travelling in a friedout Kombi,EUA 4
MEN AT WORK,9130,IT'S A MISTAKE ,Jump down the shelters to get away…,EUA
MEN AT WORK,9153,,Ican't get to sleep…,EUA
MEN AT WORK,19993,EVERYTHING I NEED ,Moving up and down and from side to side,INT11A
MEN AT WORK,20249,WHO CAN IT BE NOW? ,Who can it be knocking at my door,INT 12D
MENDES,15339,MAGALENHA ,Vem magalenha rojão traz a lenha pro,IMP 25
MENDES,17814,DAQUI PRA SEMPRE ,Todo mundo falou que o nosso amor 40K,@@
MENDONCA,17713,COMPLETA A FRASE (COMPLETA AI) ,Eu não vou pedir pra voltar 39R,@@
MENDONCA,17393,MAL FEITO ,Essa musica eu fiz pra voce nem perder seu tempo,IMP 37
MENDONCA,17403,AMAVA NADA ,Se a sua vida for com ele so me avisa pra eu,IMP 38
MENDONCA,17374,FURANDO O SINAL ,Qualquer clarão que eu vejo da janela do,IMP 37 LUIZA E MAURÍLIO - ZÉ NETO E
MENDONCA,17431,50% ,Ninguem merece desprezo meio amor meio beijo,IMP 38
MENDONÇA,16906,ESTRELINHA ,Enxugue esse rosto e venha aqui fora 34D,@@
MENDONÇA,16985,AMANTE FIEL ,Ela não reclama quando chego tarde 35B,@@
MENDONÇA,17277,RESTRIÇÃO SENTIMENTAL ,Recomendam cortar o que te faz mal,IMP 37
MENDONÇA,17285,MELHOR SOZINHA ,Eu gosto tanto de você mas isso tudo me dá,IMP 37
MENDONÇA,17789,UMA VIDA A MAIS (LISTEN TO YOUR HEART) ,Meus passos seguem um destino traçado 40G,MAIARA E MARAÍSA - MARÍLIA
MENDONÇA,16897,MOTEL ,Bem que eu notei que tá tudo mudado,MAIARA E MARAÍSA - ZÉ NETO E 34D
MENDONÇA,17261,AMOR FALSIFICADO ,Lerê-laiê... Eu já vim aqui uma vez,IMP 37
MENDONÇA,17057,"PARA, PENSA E VOLTA ",Outra vez nós brigamos por motivo idiota 35D,YASMIN SANTOS - WESLEY
MENOS E MAIS,17617,POE NA BALANCA ,Acada beijo gelado que voce me da39F,@@
MENOS E MAIS,17644,ILUDIDAO ,Qual e o motivo pra ignorar 39J,@@
MENOS E MAIS - JOÃO GOMES MENOS É MAIS - MARÍLIA,17665,"FOI BOM, MAS FOI ONTEM ",Sei que a gente encaixou 39L,@@
MENOS É MAIS,17460,VAI ME DANDO CORDA ,Eu tinha tudo pra não ir foi,MENOS E MAIS - HUGO E pura sorte IMP 38
MENOS É MAIS - MATHEUS FERNANDES,17774,LAPADA DELA ,Me apaixonei por uma menina que tem40F,@@
MENUDO,15755,SE TU NÃO ESTÁS (IF YOU'RE NOT HERE) ,Quando o sol nascer será a hora,IMP 27
MENUDO,19341,IF YOU'RE NOT HERE ,Gotta catch that plane at seven thirty,INT 7
MENUDOS,4404,NÃO SE REPRIMA (NO TE REPRIMAS) ,Canta dança sem parar...,BRA
MEREDITH BROOKS,4867,BITCH ,Ihate the world today,USA
METALLICA,2586,ENTER SANDMAN ,Say your prayers little one don’t forget my,EUA 4
METALLICA,19264,NOTHING ELSE MATTERS ,So close no matter how far,INT6125
METALLICA,19311,THE UNFORGIVEN ,New blood joins this earth and quickly he's subdued,INT 6
METALLICA,19552,MAMA SAID ,Mama she has taught me well,INT08B
METALLICA,19870,WHISKEY IN THE JAR ,As I was goin' over,INT10B
METALLICA,20116,1 ,Não consigo lembrar de nada,INT11D
METRÔ,2761,JOHNNY LOV,Etô ligando pra você há quatro dias,IMP 21
METRÔ,3408,BEAT ACELERADO II ,Minha mãe me falou que eu preciso casar,BRA
METRÔ,3446,SÂNDALO DE DANDI ,Beijos os teus lábios desejo te amar,BRA
METRÔ,6478,TUDO PODE MUDAR ,Nada ultrapassa a velocidade do…,BRA
METRÔ,6516,TI TI TI ,Se pintar um negócio na esquina…,BRA
MICHAEL BOLTON,4903,HOW AM I SUPPOSED TO LIVE WITHOUT YOU ,Icould hardly believe it,USA
MICHAEL BOLTON,19307,SANTA CLAUS IS COMING TO TOWN ,You better watch out you better not cry,INT 6
MICHAEL BOLTON,19451,ALL FOR LOVE ,The night becomes the dawn,INT 7
MICHAEL BUBLE,20207,SWAY ,When marimba rhythms start to play,INT12C
MICHAEL BUBLÉ,2545,LOST ,Can’t believe it’s over,EUA 4
MICHAEL BUBLÉ,2566,HAVEN’T MET YOU YET I,’m not surprised not everything lasts,EUA 4
MICHAEL BUBLÉ,2574,EVERYTHING ,You’re a falling star you’re the getaway,EUA 4
MICHAEL BUBLÉ,2644,HOLD ON ,Didn’t they always say we were the lucky,EUA 4
MICHAEL BUBLÉ,19209,HOME ,Another summer day has come and gone a,INT 6
MICHAEL BUBLÉ,19257,IT'S A BEAUTIFUL DAY ,Idon't know why you think that you cold hold me,INT 6
MICHAEL HOLM,4663,WHEN A CHILD IS BORN ,Aray of hope flickes in the sky,EUA
MICHAEL JACKSON,2638,YOU ARE NOT ALONE ,Another day has gone I’m still all alone,EUA 4
MICHAEL JACKSON,4568,BEAT IT ,They told him don't you ever come,EUA
MICHAEL JACKSON,4570,BILLIE JEAN ,She was more like a beauty queen,EUA
MICHAEL JACKSON,4686,BEN ,Ben the two of us need look no more...,EUA
MICHAEL JACKSON,4688,BLACK OR WHITE ,Itook my baby on a Saturday...,EUA
MICHAEL JACKSON,4712,HEAL THE WORLD ,There’s a place in your heart...,EUA
MICHAEL JACKSON,4762,ROCK WITH YOU ,Girl close your eyes...,EUA
MICHAEL JACKSON,4784,THE GIRL IS MINE ,Ev’ry night she walks right in my dreams...,EUA
MICHAEL JACKSON,4788,THRILLER ,It’s close to midnight...,EUA
MICHAEL JACKSON,4944,MUSIC AND ME ,We've been together for such a long time,USA
MICHAEL JACKSON,19203,DON'T STOP 'TILL YOU GET ENOUGH ,You know I was I was wondering you know,INT 6
MICHAEL JACKSON,19220,LOVE NEVER FELT SO GOOD ,Baby love never felt so good,INT 6
MICHAEL JACKSON,19435,HUMAN NATURE ,Looking out across the night-time,INT 7
MICHAEL JACKSON,19496,GOT TO BE THERE ,Got to be there,INT08A
MICHAEL JACKSON,19560,WILL YOU BE THERE ,Hold me like the River Jordan,INT08B
MICHAEL JACKSON,19665,REMEMBER THE TIME ,Do you remember when we fell in love,INT09A
MICHAEL JACKSON,19685,BAD ,Your butt is mine gonna tell you right,INT09B
MICHAEL JACKSON,19743,ONE DAY IN YOUR LIFE ,One day in your life,INT09C
MICHAEL JACKSON,19884,HAPPY ,Sadness had been close as my next of kin,INT10C
MICHAEL JACKSON,20036,THEY DON'T CARE ABOUT US ,All I wanna say is that,INT11B
MICHAEL JACKSON,20309,THE WAY YOU MAKE ME FEEL ,Hey pretty baby with the high heels on,INT13C
MICHAEL JACKSON,20542,EARTH SONG ,What about sunrise what about rain,INT14L
MICHAEL JACKSON - AKON,20605,HOLD MY HAND ,Oh ohhh...This life don't last forever15A,@@
MICHAEL JACKSON - SIEDAH GARRETT,19934,I JUST CAN'T STOP LOVING YOU ,Each time the wind blows,INT10D
MICHAEL LEARNS TO ROCK,19518,THAT'S WHY (YOU GO AWAY) ,Baby won't you tell me why,INT08A
MICHAEL MCDONALD,9035,I HEARD IT THROUGH THE GRAPEVINE ,Woo oh I bet you're wondering how I knew,USA
MICHAEL SEMBELLO,20525,MANIAC ,Just a steel town girl on a saturday night,INT14J
MICHAEL SULLIVAN,4253,SEMPRE VOU TE AMAR ,Eu preciso de você...,BRA
MICHAEL SULLIVAN,4267,CORAÇÃO VAZIO ,Vem ficar na minha vida...,BRA
MICHEL TELÓ,5127,NÃO TEM PRA NINGUEM ,Musica Extra,@@
MICHEL TELÓ,5242,MODÃO DOÍDO ,Musica Extra,@@
MICHEL TELÓ,1523,"AMANHÃ, SEI LÁ ",Tô com vontade de te encher de beijos,IMP 18
MICHEL TELÓ,1527,BALADA SERTANEJA ,Balada sertaneja vamos cair nessa,IMP 18
MICHEL TELÓ,1566,EXPLODIU ,Pra que lutar contra o sentimento,IMP 18
MICHEL TELÓ,1588,HORIZONTE ,Nesse céu não tem estrelas não,IMP 18
MICHEL TELÓ,1605,FUGIDINHA ,Ôô ô ô ô ô,IMP 18
MICHEL TELÓ,1678,ME ODEIE ,Me desgrace me odeie,IMP19
MICHEL TELÓ,1861,AI SE EU TE PEGO ,Nossa nossa assim você me mata,IMP20
MICHEL TELÓ,2707,HUMILDE RESIDÊNCI,Apra minha humilde residência vou te esperar,IMP 21
MICHEL TELÓ,15164,AMIGA DA MINHA IRMÃ ,Quando a campainha toca vou correndo imp 24,@@
MICHEL TELÓ,15177,LOVE SONG ,Love love song uhh... É acho que conquistei imp 24,@@
MICHEL TELÓ,15264,PAI MÃE ,Pai mãe razões da minha vida minha força imp 24,@@
MICHEL TELÓ,15382,MARIA ,Tá difícil esconder o que eu sinto por você,IMP 25
MICHEL TELÓ,15903,LEVANTA O COPO ,Aí levanta o copo e chora comigo e chora comigo,IMP28
MICHEL TELÓ,15958,TÁ QUENTE ,Tá quente tá quente vou te beijando e vai passando,IMP28
MICHEL TELÓ,16343,O MAR PAROU ,Oseu corpo me incendeia e esses olhos cor de 31B,@@
MICHEL TELÓ,16754,CASAL MODÃO ,Se for pra namorar e não ter parceira33D,@@
MICHEL TELÓ,17506,O TEMPO NÃO ESPERA NINGUÉM ,Quando será que a vida vai ser boa,IMP 38
MICHEL TELÓ,17753,FUZUÊ ,Levanta a mão aê prepara pra mexer 40D,@@
MICHEL TELÓ - BRUNINHO E DAVI,15175,LEVEMENTE ALTERADO ,Relaxa aí que eu tô bem pedi carona então imp 24,@@
MICHEL TELÓ - GUSTTAVO LIMA MICHEL TELÓ - MAIARA E,15827,IMPLORANDO PRA TRAIR ,Eu já nem lembro mais qual foi a última vez que,IMP28
MICHEL TELÓ - MARÍLIA MENDONÇA MICHEL TELÓ - PAULA,16413,POR TRAS DA MAQUIAGEM ,Chega de se esconder por trás da maquiagem 31D,@@
MICHEL TELÓ - PRINCE ROYCE MICHEL TELÓ E JOÃO BOSCO E,15719,TE DAR UM BEIJO ,Amar como eu te amo é complicado,IMP 27
MICK JAGGER,20269,HARD WOMAN ,She's a hard woman to please,INT 12D
MIDNIGHT OIL,20589,THE DEAD HEART ,Do-do do-do... We don´t serve your country,INT14Q
MIKA,15675,QUAL É O ANDAR? ,Eu tô indo te encontrar então diz qual é o andar,IMP 27
MIKA,19267,"RELAX, TAKE IT EASY ",Took a ride to the end of the line where no one ever,INT 6
MIKA,19315,WE ARE GOLDEN ,Teenage dreams in a teenage circus running around,INT 6
MIKA,19335,GRACE KELLY ,Do I attract you do I repulse you with my,INT 7
MIKE & THE MECHANICS,19745,OVER MY SHOULDER ,Yeahhh,INT09C
MILA - JOTTAPÊ MILA - MENOR NICO - PETTER,16827,O AMOR QUE TU PERDEU ,Tu não me queria quando eu tava apaixonada 34B,@@
MILEY CYRUS,19020,THE CLIMB ,Ican almost see it That dream I'm dreaming,INT 5
MILEY CYRUS,19047,CAN'T BE TAMED ,For those who don't know me I can get,INT 5
MILEY CYRUS,19066,PARTY IN THE U.S.A. ,Ihopped off the plane at L.A.X. with a dream,INT 5
MILEY CYRUS,19078,WHO OWNS MY HEART ,Creation shows me what to do I'm dancing,INT 5
MILEY CYRUS,19156,WRECKING BALL ,We clawed we chained our hearts in vain,INT 5
MILEY CYRUS,19317,WE CAN'T STOP ,It's our party we can do what we want,INT 6
MILEY CYRUS,19396,SEE YOU AGAIN ,Igot my sight set on you and I'm ready to aim,INT 7
MILEY CYRUS,19536,ADORE YOU ,Oh-ohhh... Baby baby are you listening,INT08B
MILEY CYRUS,19789,MALIBU ,Inever came to the beach,INT09D
MILEY CYRUS,20319,WHEN I LOOK AT YOU ,Everybody needs inspiration,INT13D
MILEY CYRUS,20458,MIDNIGHT SKY ,La la la...Yeah it´s been a long night and the,INT 14
MILEY CYRUS,20574,FLOWERS ,We were good we were gold,INT14P
MILEY CYRUS - DUA LIPA,20263,PRISONER ,Prisoner prisoner locked up can't get you off,INT 12D
MILIONÁRIO E JOSÉ RICO,1327,NENHUMA ESPERANÇ,Avocê tem meu endereço você tem meu te,IMP17
MILIONÁRIO E JOSÉ RICO,1474,SUBLIME MIRAGE,Messa noite a paixão me obrigou,IMP17
MILIONÁRIO E JOSÉ RICO,1760,VONTADE DIVIDIDA ,Eu queria ter você no meu caminho,IMP19
MILIONÁRIO E JOSÉ RICO,1777,TEMPESTADE DE PAIXÃO ,Otempo está fechando e me parece,IMP19
MILIONÁRIO E JOSÉ RICO,4110,ESTRADA DA VIDA ,Nesta longa estrada da vida,BRA
MILIONÁRIO E JOSÉ RICO,6272,QUEM DISSE QUE ESQUECI ,Quem disse que esqueci...,BRA
MILIONÁRIO E JOSÉ RICO,6761,A DAMA DE VERMELHO ,Garçom olhe pelo espelho...,BRA
MILIONÁRIO E JOSÉ RICO,7252,TA RINDO DE QUE ,Agora tá do jeitinho que ela quer,BRA
MILIONÁRIO E JOSÉ RICO,7456,SONHEI COM VOCÊ ,Depois de muito tempo,BRA
MILIONÁRIO E JOSÉ RICO,7457,SONHO DE UM ,Eram dois amigos,BRA
MILIONÁRIO E JOSÉ RICO,9308,O TROPEIRO ,Eu sou tropeiro e adoro esta vida,IMP 13
MILIONÁRIO E JOSÉ RICO,9363,VIVA A VIDA ,Quebrei a taça da amargura,IMP 13
MILIONÁRIO E JOSÉ RICO,15021,A GANGORRA ,Eu gostaria de voltar aos quinze anos,IMP 23
MILIONÁRIO E JOSÉ RICO,15608,ENTRE LÁGRIMAS ,Eu não quero que tu penses nem um só,IMP26
MILIONÁRIO E JOSÉ RICO,15807,BONECA COBIÇADA ,Quando eu te conheci do amor desiluda,IMP28
MILIONÁRIO E JOSÉ RICO,15927,DECIDA ,Sente aqui comigo no sofá,IMP28
MILIONÁRIO E JOSÉ RICO,15931,CAMINHEIRO ,Caminheiro que lá vai indo,IMP28
MILIONÁRIO E JOSÉ RICO,16600,SOLIDÃO ,Alguém me falou que você me enganou 32D,@@
MILIONÁRIO E JOSÉ RICO,16617,O ÚLTIMO JULGAMENTO ,Senta aqui neste banco pertinho de mim 33A,@@
MILIONÁRIO E JOSÉ RICO,16764,DUAS CAMISAS ,Amigo ainda continuo apaixonado34A,@@
MILIONÁRIO E JOSÉ RICO,17037,JOGO DO AMOR ,Com o meu dinheiro eu comprei de tudo 35C,@@
MILIONÁRIO E JOSÉ RICO,17547,LEMBRANÇA ,Lembrança por que não foge de mim38Q,@@
MILIONÁRIO E JOSÉ RICO,17741,A CARTA ,Estou escrevendo esta carta meio aos prantos 40C,@@
MILLI VANILLI,20005,GIRL I'M GONNA MISS YOU ,Iknew it from the start you would break,INT11B
MILLI VANILLI,20044,GIRL YOU KNOW IT'S TRUE I,'m in love with you girl,INT11C
MILTINHO,9287,MULHER DE TRINTA ,Você mulher que já viveu,IMP 13
MILTINHO,16099,LEMBRANÇAS ,Lembro um olhar lembro um lugar teu vulto 29D,@@
MILTINHO - EDIBERTO - FALAMANSA,6341,NO BALANÇO DO BUZÃO ,No balanço do buzão no fungado...,BRA
MILTINHO E TITO MADI,9318,POEMA DO ADEUS ,Então eu fiz um bem dos males que pass,IMP 13
MILTON CARLOS,3772,SAMBA QUADRADO ,Eu fiz um samba quadrado,BRA
MILTON CARLOS,6540,MEMÓRIAS DO CAFÉ NICE ,Ai que saudade me dá ai que saudade…,BRA
MILTON CARLOS,9647,CONTRA SENSO ,Se quiserem saber porque foi que mudei,IMP 14
MILTON GUEDES,3899,SONHO DE UMA NOITE DE VERÃO,Sonho de uma noite de verão eu,BRA
MILTON NASCIMENTO,1884,CAÇADOR DE MIM ,Por tanto amor por tanta emoção,IMP20
MILTON NASCIMENTO,2679,OUTRO LUGA,Rcê sabe que as canções são todas feitas,IMP 21
MILTON NASCIMENTO,3039,CANÇÃO DA AMÉRICA ,Amigo é coisa pra se guardar,BRA
MILTON NASCIMENTO,3272,TRAVESSIA ,Quando você foi embora,BRA
MILTON NASCIMENTO,3584,NOS BAILES DA VIDA ,Foi nos bailes da vida ou num bar,BRA
MILTON NASCIMENTO,3757,MARIA MARIA ,"Maria, Maria é um dom",BRA
MILTON NASCIMENTO,3835,CORAÇÃO DE ESTUDANTE ,Quero falar de uma coisa...,BRA
MILTON NASCIMENTO,4037,"FÉ CEGA, FACA AMOLADA ",Agora não pergunto mais aonde vai,BRA
MILTON NASCIMENTO,6971,QUEM SABE ISSO QUER DIZER AMOR ,Cheguei a tempo de te ver acordar…,BRA
MILTON NASCIMENTO,7319,CIRCO MARIMBONDO ,Circo Marimbondo Circo,BRA
MILTON NASCIMENTO,7606,FAZENDA ,Água de beber bica no quintal,IMP 11
MILTON NASCIMENTO,9307,O ROUXINOL ,Rouxinol tomou conta do meu viver,IMP 13
MILTON NASCIMENTO,9489,NAMORADOS DA LUA ,Émeia-noite desperta acorda gentil,IMP 13
MILTON NASCIMENTO,9650,CORAÇÃO CIVIL ,Quero a utopia quero tudo e mais,IMP 14
MILTON NASCIMENTO,16207,PAULA E BEBETO ,Évida vida que amor brincadeira vera 30C,@@
MILTON NASCIMENTO,16952,CERTAS CANÇÕES ,Certas canções que ouço cabem tão35A,@@
MILTON NASCIMENTO & CHICO BUARQUE,6468,O CIO DA TERRA ,Debulhar o trigo…,BRA
MILTON NASCIMENTO E SAGRADO CORAÇÃO DA TERRA,6869,ÓRFÃOS DO PARAÍSO ,Órfãos do sonho Brasil,BRA
MINNIE RIPERTON,2519,LOVIN’ YOU ,Lovin’ you,EUA 4
MIOTO,17264,FAZ JUSTIÇA ,Será que é muito pedir pra você responder,IMP 37
MIOTO YASMIN SANTOS - MARÍLIA,16535,ENTÃO VOU AVISAR ,Você já parou pra pensar 32C,@@
MIRIAM PERACCHI - DISNEY A MILTON NASCIMENTO/ M. VALLE,3778,VIOLA ENLUARADA ,Amão que toca um violão,BRA
MISSION (THE),20198,SEVERINA ,She's got her head in the cloud,INT12B
MITCH MILLER,4560,YOU ARE MY SUNSHINE ,The other night dear as I lay sleeping,EUA
MIÚCHA,9367,VOCÊ VAI VER ,Você vai ver você vai implorar,IMP 13
MIÚCHA E TOM JOBIM,1778,TURMA DO FUNIL ,Quando é tão densa a fumaça,IMP19
MIÚCHA E TOM JOBIM,6545,PELA LUZ DOS OLHOS TEUS ,Quando a luz dos olhos meus…,BRA
MOACYR FRANCO,1015,MILAGRE DA FLECH,Aera alta madrugada,IMP 15
MOACYR FRANCO,1427,INCÊNDIO NO CANAVIA,Lsó quem vive a nossa vida,IMP17
MOACYR FRANCO,1473,SOU MAIS U,Meu nasci em qualquer dia,IMP17
MOACYR FRANCO,1784,DISTANTE DOS OLHOS ,Por que é,IMP19
MOACYR FRANCO,4474,EU TE DAREI BEM MAIS ,Pelo menos desta vez...,BRA
MOACYR FRANCO,6513,SUAVE É A NOITE ,Étão calma a noite a noite é de nós…,BRA
MOACYR FRANCO,6810,BALADA NÚMERO 7 (MANÉ GARRINCHA) ,Sua ilusão,BRA
MOACYR FRANCO,7440,SE EU NÃO PUDER TE ,Se eu não puder te esquecer,BRA
MOACYR FRANCO,7920,CARTAS NA MESA ,Não dá mais certo,IMP 12
MOACYR FRANCO,7957,"EU AMO TANTO, TANTO ",Diga que o nosso amor não morre,IMP 12
MOACYR FRANCO,9378,À SOMBRA DO TEU SORRISO ,Vivi os sonhos meus nos braços teus,IMP 13
MOACYR FRANCO,3946,AINDA ONTEM CHOREI DE SAUDADE ,Você me pede na carta que eu...,BRA
MOACYR FRANCO - SÉRGIO REIS,15502,QUESTÃO DE TEMPO ,Tô sonhando quase toda noite que você,IMP26
MOCIDADE IND. PE. MIGUEL,15628,SONHAR NÃO CUSTA NADA OU QUASE NADA ,Mostrando a minha identidade eu posso,IMP26
MOGLI,7550,SOMENTE O NECESSÁRIO ,Eu uso o necessário somente...,INF
MOINHO,1460,MAIOR É DEU,Sê maior é deus,IMP17
MOINHO,1551,ELA BRIGA COMIGO ,Ela briga comigo,IMP 18
MOINHO DA BAHIA,9669,ESNOBA ,Só porque tenho por ela um apreço im,IMP 14
MOLEJO,75310,AH MOLEQUE ,Musica Extra,@@
MOLEJO,1390,NÉ BRINQUEDO NÃ,Oné brinquedo não né brinquedo não,IMP17
MOLEJO,3037,CAÇAMBA ,Traz a caçamba traz a caçamba,BRA
MOLEJO,3204,PAPARICO ,Menina vou lhe ser sincero,BRA
MOLEJO,3211,PENSANDO VERDE ,Essa é a estória de uma garota nova,BRA
MOLEJO,3321,DOIDINHA POR MEU SAMBA ,Alá lá le le oh alá lá le le le doidinha,BRA
MOLEJO,3637,SAMBA DIFERENTE ,Quem samba com molejo samba,BRA
MOLEJO,3821,A DANÇA DA VASSOURA ,Diga aonde você vai que eu vou varrendo,BRA
MOLEJO,3991,BRINCADEIRA DE CRIANÇA ,Acorda criançada,BRA
MOLEJO,6984,TÁ MALUCA ,Tá maluca tá maluca…,BRA
MOLEJO,15100,VOLTEI ,Venho trabalhando venho me esforçando,IMP 23
MOLEJO,15984,CILADA ,Quase morri do coração quando ela me convidou 29A,@@
MOLEJO,16366,SAMBA ROCK DO MOLEJÃO ,Ei vamos nessa vem no miudinho 31C,@@
MOLEJO - DAVID BRAZIL,16712,AMIGO GAGUINHO ,Tenho um amigo que é gaguinho e ele só apronta 33C,@@
MONICA,19574,FOR YOU I WILL ,When you're feeling lost in the night,INT08C
MONIQUE KESSOUS,1226,PITANGUEIR,Auma palavra de amor,IMP 16
MONIQUE KESSOUS,1993,COM ESSA CO,Reu vou só,IMP 21
MONIQUE KESSOUS,2666,CORAÇÃ,Oquando bate o meu coração por onde eu,IMP 21
MONIQUE KESSOUS,15244,CALMA AÍ ,Calma aí pera aí não espere tanto desse amor imp 24,@@
MONIQUE KESSOUS,16479,SINCERAMENTE ,Sinceramente você pode se abrir comigo 32B,@@
MONIQUE KESSOUS,16911,FRIO ,Cada vez que eu penso em te ver 34D,@@
MONIQUE KESSOUS,17555,EU SEM VOCÊ ,Sem você eu ficaria maluca 38R,@@
MOOD BLUES,4625,FOR MY LADY ,My boat sails story seas battle,EUA
MOONY,20194,I DON'T KNOW WHY ,Never happy not satisfied Alway,INT12B
MORAES MOREIRA,3033,BRASIL PANDEIRO ,Chegou a hora dessa gente bronzeada,BRA
MORAES MOREIRA,3718,POMBO-CORREIO ,Pombo-Correio voa depressa,BRA
MORAES MOREIRA,3801,LÁ VEM O BRASIL DESCENDO A LADEIRA ,Quem desce do morro não morre,BRA
MORAES MOREIRA,7288,A LUA E O MAR ,De Canoa Quebrada até,BRA
MORAES MOREIRA,9420,COISA ACESA ,Atravessei os sete mares e por todos,IMP 13
MORAES MOREIRA,16791,AS ABELHAS ,Aabelha mestra 34A,@@
MORAES MOREIRA,16816,EU SOU O CARNAVAL ,Eu sou o carnaval em cada esquina34B,@@
MORAES MOREIRA,7502,A BOLA ,Pulo pulo pulo vou de pé em pé...,INF
MORCHEEBA,19512,ROME WASN'T BUILT IN A DAY ,You and me were meant to be,INT08A
MORRIS ALBERT,4515,FEELING ,Feeling nothing more than feeling,EUA
MORRIS ALBERT,9054,SHE'S MY GIRL ,She's my girl when the sun goes down,USA
MORRISEY,19477,SUEDEHEAD ,Why do you come here,INT 7
MPB 4,1055,O PATO INF,,INF
MPB4 - TOQUINHO,1950,SAMBA PRA VINÍCIUS ,Poeta meu poeta camarada,IMP20
MR. JAM,17269,REBOLA NA BOA ,Ômaninho simbora agora que é hora,IMP 37
MR.BIG,2632,TO BE WITH YOU ,Hold on little girl show me what,EUA 4
MR.MISTER,4871,BROKEN WINGS ,"Baby, don't understand",USA
MULEKADA,1048,FOI DE BRINCADEIRA INF,,INF
MULHER MANGABA (ELLEN MULEKE TRAVESSO,3400,VOCÊ EM MIM ,Hoje eu me encontro na solidão,BRA
MUMUZINHO,75311,FRASES DE AMOR ,Musica Extra,@@
MUMUZINHO,15653,CURTO CIRCUITO ,Quem sou eu não sei quem sou quando estou,IMP 27
MUMUZINHO,15824,FALA ,Fala na minha cara não se retraia,IMP28
MUMUZINHO,16061,FULMINANTE ,Êh iê iê iê... Eu amei nem sempre se calcula 29C,@@
MUMUZINHO,16564,EU MEREÇO SER FELIZ ,Êlalaiá ê lalaiá... O dia tava tão lindo32D,@@
MUMUZINHO,16957,DENGO NEGO ,Tudo está do mesmo jeito 35A,@@
MUMUZINHO,17095,NÃO QUERO DESPEDIDA ,Se toda vez que a gente se olhar 36A,@@
MUMUZINHO,17159,PLAYLIST ,Tem dia que eu fico melhor do que ontem36E,@@
MUMUZINHO,17527,SEM VESTÍGIOS ,Dias e noites vi nascer luas em cada amanh,IMP 38
MUMUZINHO - SORRISO MAROTO,17189,UM CARA APAIXONADO ,Eu luto com todas as forças 36H,@@
MUMUZINHO E DILSINHO,75312,CONFIANÇA ,Musica Extra,@@
MUNDO BITA,16393,FAZENDINHA ,Bom dia o sol já nasceu lá na fazendinha 31C,@@
MUNGO JERRY,19548,IN THE SUMMERTIME ,In the summertime when the weather is hot,INT08B
MUNHOZ E MARIANO,2844,CAMARO AMARELO ,Agora eu fiquei doce doce doce doce 22B,@@
MUNHOZ E MARIANO,2910,EU VOU PEGAR VOCÊ E TÃE ,Eu vou pegar você e tãe tãe tãe tãe 22D,@@
MUNHOZ E MARIANO,15030,COMENDO ÁGUA ,Alô tô num bar chego já pode ir fazendo,IMP 23
MUNHOZ E MARIANO,15034,FIM DE SEMANA ,Alô o final de semana chegou,IMP 23
MUNHOZ E MARIANO,15096,TE QUERO BEM ,Eu já falei e não vou repetir,IMP 23
MUNHOZ E MARIANO,15282,A BELA E O FERA ,Ela é mistério cheia de segredos ele é imp 24,@@
MUNHOZ E MARIANO,15312,PANTERA COR-DE-ROSA ,Toda produzida jeitinho de santinha imp 24,@@
MUNHOZ E MARIANO,15486,CASAMENTO DO JOÃO ,Ontem fui numa festa e esqueci da hora,IMP26
